Vimium FF,i3wm,tmux,nvim,zsh,Plugins to check out,,
x: close tab,v/h: split,Alt+j/k: switch windows,A: switch to insert mode after current line,d: list directories to jump to,Nvim::::,
X: Restore tab,e/s/w: default/stacking/tabbed,C+hjkl: change focus,o/O: open line below/above current and switch insert mode,bd: go back to directory,Coc Language Server,
gg: Top of Page,Shift + 0-9: Move window to workspace,C+w: New tab,C+r: redo last undo,C+t: search file in directory,Nerdtree,
G: Bottom of Page,a: focus parent (??),Pre+C+d Kill field,0: Move to beginning of line,C+r: search for entry in command history,Linter (Ale/Neomake),
u/c-f: Scroll up,Shift+c/e: reload/exit,Pre+Space: next layout,^: Move to first non blank character of line,Alt+c: set sub directory as working directory,vim-sandwich/surround,
d/c-b: Half page down,..,Pre+Tab: Choose copy in command history,:                   0-9+G: move to line number,kill+Tab: autocomplete processid to kill,vim-snipe/vim easymotion,
O: Open URL in new tab,..,Pre+/ Copycat Search in command output,gg/G: first/last line,..,targets/miniyank/vim-snippets,
gs: View page source,..,..,%: move to matching bracket,..,Quickfix Reflector/ Cocsearch,
N: Previous match,..,..,..,..,gruvbox/lgihtline,
yy: copy URL to clipboard,..,..,C+W s/v: Split horizontally/vertically,..,vim-tmux-focus-events/vim-tmux-navigator,
gf: cycle focus to next frame,..,..,C+W n: Split horizontally and edit a new file,..,vim-startify,
gF: select main frame,,,C+W ^: Split with alternate file (# buffer),,git,
,,,C+W+hjkl: move between windows,,,
,,,C+W r/x Rotate windows/exchange windows,,,
,,,C+W -+<>= Resize Windows,
,,,:qa Close all windows,
,,,,,,
,,,:tabnew (tabe)/ :tabclose(tabc)/ :tabonly(tabo),,,
,,,gt/gT/0-9gt: Go to previous/next/tab number ..,,,
,,,C+o/i: Go to previous/next cursor positions,,,
,,,g Comma /g; : Jump to previous/next change in change list,,,,
,,,[m / ]m: Jump tp start/End of method,,,
,,,,,,
,,,. Repeat last change,,,
,,,@ Repeat last command executed,,,
,,,q: / q/ Open command/search history,,,
,,,C+e: resize mode,,,
,,,fzf - :Files :Hisotry : Buffers,,,
,,,:Explore/Lexplore/Hexplore: netrw,,,
,,,,,,
,,,gc/gcc: Comment/Uncomment,,,
,,,
,,,Insert mode:
,,,C+w delete a word
,,,C+h delete a character,,,
,,,C+o Insert normal mode,,,
,,,,,,
,,,C+x C+p autofill word from document
,,,C+x C+l autofill line from document,,,
,,,C+x C+o Omni (IntelliSense like) autocomplete,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
